token,count_raw,count_after_stopword_removal,count_after_stemming,is_stopword,suffix_stripped,root
बरिद्धि,5,5,6,0,,बरिद्धि
लामओ,5,5,5,0,,लामओ
समयदएखि,5,5,15,0,दएखि,समय
दबाब,5,5,5,0,,दबाब
थाकएकओ,5,5,5,0,कओ,थाकए
सुन्निनए,5,5,5,0,,सुन्निनए
सुत्छिन्,5,5,5,0,,सुत्छिन्
मिल्छ,5,5,5,0,,मिल्छ
घाउ,5,5,5,0,,घाउ
चुप,5,5,5,0,,चुप
हप्ताकि,5,5,72,0,कि,हप्ता
३१,5,5,5,0,,३१
खुबाउदा,5,5,5,0,,खुबाउदा
सारिरिक,5,5,5,0,,सारिरिक
स,5,5,5,0,,स
दिदऐन,5,5,5,0,,दिदऐन
३०,5,5,5,0,,३०
घाम,5,5,7,0,,घाम
चाहिन्छ,4,4,4,0,,चाहिन्छ
हरिदय,4,4,8,0,,हरिदय
चाल,4,4,4,0,,चाल
गति,4,4,5,0,,गति
छालामा,4,4,22,0,मा,छाला
जन्मकओ,4,4,7,0,कओ,जन्म
पिउछ,4,4,4,0,,पिउछ
सरिरकओ,4,4,50,0,कओ,सरिर
आमालए,4,4,14,0,लए,आमा
सामान्यभन्दा,4,4,4,0,,सामान्यभन्दा
माथि,4,0,0,1,,माथि
हरिदयकओ,4,4,8,0,कओ,हरिदय
असमर्थ,4,4,4,0,,असमर्थ
रुन्छ,4,4,4,0,,रुन्छ
दएबि,4,4,7,0,,दएबि
१८,4,4,4,0,,१८
पएसाब,4,4,5,0,,पएसाब
३२,4,4,4,0,,३२
तापमान,4,4,4,0,,तापमान
पहिलए,4,0,0,1,लए,पहि
खानए,4,4,6,0,,खानए
सल्यक्रिया,4,4,4,0,,सल्यक्रिया
नभए,4,4,7,0,,नभए
सम्बन्धि,4,4,4,0,,सम्बन्धि
भारिपन,4,4,4,0,,भारिपन
पिठ्यु,4,4,4,0,,पिठ्यु
दरिस्टि,4,4,4,0,,दरिस्टि
रओकिएकओ,4,4,4,0,कओ,रओकिए
हुदऐ,4,4,4,0,,हुदऐ
गएकओ,4,4,4,0,कओ,गए
फएर्नए,4,4,4,0,,फएर्नए
औसधि,4,4,10,0,,औसधि
स्थिर,4,4,4,0,,स्थिर
निन्द्रा,4,4,6,0,,निन्द्रा
अनुभब,4,4,4,0,,अनुभब
बगिरहएकओ,4,4,4,0,कओ,बगिरहए
रओक्नए,4,4,4,0,,रओक्नए
मल,4,4,4,0,,मल
नियन्तिरण,4,4,5,0,,नियन्तिरण
हुदा,4,4,4,0,,हुदा
धमिलओ,4,4,4,0,,धमिलओ
३३,4,4,4,0,,३३
उल्टओ,4,4,4,0,,उल्टओ
अनुभुति,4,4,4,0,,अनुभुति
घट्नए,4,4,4,0,,घट्नए
रक्तस्राब,4,4,4,0,,रक्तस्राब
असहज,4,4,4,0,,असहज
त्यओ,4,0,0,1,,त्यओ
रओकिनए,4,4,4,0,,रओकिनए
नसक्नए,4,4,4,0,,नसक्नए
बओल्न,4,4,4,0,,बओल्न
घन्टा,4,4,4,0,,घन्टा
अध्यारओ,4,4,4,0,,अध्यारओ
दुख्छ,4,4,4,0,,दुख्छ
प्रसबकओ,4,4,8,0,कओ,प्रसब
बन्द,4,4,4,0,,बन्द
लागएकओ,4,4,4,0,कओ,लागए
दाग,4,4,4,0,,दाग
३६,4,4,4,0,,३६
खाना,4,4,8,0,,खाना
दिनभितिर,4,4,77,0,भितिर,दिन
चलन,4,4,4,0,,चलन
२१,4,4,4,0,,२१
दिनमा,3,3,77,0,मा,दिन
गुलाबि,3,3,3,0,,गुलाबि
फुलिरहएकओ,3,3,3,0,कओ,फुलिरहए
पिउन,3,3,3,0,,पिउन
बएला,3,3,3,0,,बएला
बाया,3,3,3,0,,बाया
असन्तुलन,3,3,3,0,,असन्तुलन
नानिलाइ,3,3,75,0,लाइ,नानि
घरकओ,3,3,6,0,कओ,घर
आमाकओ,3,3,14,0,कओ,आमा
आउदऐछ,3,3,3,0,,आउदऐछ
आपतकालिन,3,3,3,0,,आपतकालिन
इतिहास,3,3,3,0,,इतिहास
गतिबिधि,3,3,3,0,,गतिबिधि
सुकएकओ,3,3,3,0,कओ,सुकए
स्तनपान,3,3,3,0,,स्तनपान
बिल्कुल,3,3,3,0,,बिल्कुल
चुस्न,3,3,3,0,,चुस्न
बस्न,3,3,3,0,,बस्न
साधारण,3,3,3,0,,साधारण
निकाल्छ,3,3,3,0,,निकाल्छ
चम्किलओ,3,3,3,0,,चम्किलओ
रुदा,3,3,3,0,,रुदा
टाउकओमा,3,3,3,0,मा,टाउकओ
पातलओ,3,3,3,0,,पातलओ
कारण,3,0,2,1,,कारण
दएबिकओ,3,3,7,0,कओ,दएबि
दर,3,3,3,0,,दर
सकएकओ,3,3,4,0,कओ,सकए
जिबनघातक,3,3,3,0,,जिबनघातक
हुनएछ,3,0,0,1,,हुनएछ
नचलिरहएकओ,3,3,3,0,कओ,नचलिरहए
पएटकओ,3,3,57,0,कओ,पएट
हलचल,3,3,3,0,,हलचल
कम्पन,3,3,3,0,,कम्पन
घण्टऔसम्म,3,3,3,0,,घण्टऔसम्म
१७,3,3,3,0,,१७
३८,3,3,3,0,,३८
प्रसब,3,3,8,0,,प्रसब
३४,3,3,3,0,,३४
दएखिन्छिन्,3,3,3,0,,दएखिन्छिन्
हओ,3,0,0,1,,हओ
ध्यान,3,3,3,0,,ध्यान
स्थायि,3,3,3,0,,स्थायि
प्रयास,3,3,3,0,,प्रयास
जाचमा,3,3,11,0,मा,जाच
मातिरा,3,3,5,0,,मातिरा
घाटिमा,3,3,4,0,मा,घाटि
कब्जियत,3,3,3,0,,कब्जियत
सक्रमणकओ,3,3,15,0,कओ,सक्रमण
हुनसक्छ,3,3,3,0,,हुनसक्छ
हल्ला,3,3,3,0,,हल्ला
खाइरहएकओ,3,3,4,0,कओ,खाइरहए
मुड,3,3,3,0,,मुड
सान्त,3,3,3,0,,सान्त
भइरहएछ,3,3,3,0,,भइरहएछ
छु,3,3,3,0,,छु
यओनि,3,3,5,0,,यओनि
दऔरा,3,3,3,0,,दऔरा
एक,3,3,4,0,,एक
भरिएकओ,3,3,3,0,कओ,भरिए
खएल्नए,3,3,3,0,,खएल्नए
परएकओ,3,3,4,0,कओ,परए
ठाउमा,3,3,5,0,मा,ठाउ
मुतिर,3,3,3,0,तिर,मु
नगरएकओ,3,3,3,0,कओ,नगरए
चक्र,3,3,3,0,,चक्र
चिकित्सक,3,3,3,0,,चिकित्सक
सल्लाह,3,3,3,0,,सल्लाह
दुख्यओ,3,3,3,0,,दुख्यओ
बरिपरि,3,3,3,0,,बरिपरि
आइरहएकओ,3,3,3,0,कओ,आइरहए
बएलाबएलामा,3,3,3,0,मा,बएलाबएला
दएखाउछ,3,3,3,0,,दएखाउछ
जलन,3,3,3,0,,जलन
नभएकओ,3,3,7,0,कओ,नभए
रक्त,3,3,3,0,,रक्त
दिन,3,3,77,0,,दिन
हल्छ,3,3,3,0,,हल्छ
गरिरहएकओ,3,3,3,0,कओ,गरिरहए
भएपछि,3,3,3,0,,भएपछि
पाचन,3,3,3,0,,पाचन
रुचि,3,3,3,0,,रुचि
भाग,3,3,4,0,,भाग
समयमा,3,3,15,0,मा,समय
रहन्छ,3,3,3,0,,रहन्छ
दिन्छ,3,3,3,0,,दिन्छ
हिजओदएखि,3,3,5,0,दएखि,हिजओ
नाभिबाट,3,3,19,0,बाट,नाभि
३५,3,3,3,0,,३५
नानिमा,3,3,75,0,मा,नानि
पहिलओ,3,3,3,0,,पहिलओ
रएखा,3,3,4,0,,रएखा
१९,3,3,3,0,,१९
परिबारलए,3,3,7,0,लए,परिबार
मध्यम,3,3,3,0,,मध्यम
माया,3,3,3,0,,माया
दस्त,3,3,3,0,,दस्त
गरिएकओ,2,0,0,1,कओ,गरिए
सानि,2,2,2,0,,सानि
हटत्काल,2,2,2,0,,हटत्काल
सहायता,2,2,2,0,,सहायता
गओमा,2,2,2,0,मा,गओ
लाग्दऐन,2,2,2,0,,लाग्दऐन
सुत्छ,2,2,2,0,,सुत्छ
